
MIBiG accession	Full / partial MIBiG info	Main product	Biosynthetic class	Organism
BGC0000454	Partial	vanchrobactin	NRP	Vibrio anguillarum RV22
BGC0000455	Partial	vancomycin	NRP	Amycolatopsis orientalis HCCB10007
BGC0000456	Partial	verlamelin	NRP	Lecanicillium sp. HF627
BGC0000457	Partial	vicibactin	NRP	Rhizobium etli CFN 42
BGC0000458	Partial	viomycin	NRP	Streptomyces vinaceus
BGC0000460	Partial	vulnibactin	NRP	Vibrio vulnificus CMCP6
BGC0000461	Partial	WAP-8294A2 (lotilibcin)	NRP	Lysobacter enzymogenes
BGC0000466	Partial	yatakemycin	NRP	Streptomyces sp. TP-A2060
BGC0000467	Partial	yersiniabactin	NRP	Yersinia enterocolitica
BGC0000469	Partial	bottromycin A2	RiPP	Streptomyces sp. BC16019
BGC0000470	Partial	bottromycin D	RiPP	Streptomyces sp. WMMB 272
BGC0000475	Partial	patellamide A / patellamide C	RiPP	Prochloron didemni
BGC0000481	Partial	trichamide	RiPP	Trichodesmium erythraeum IMS101
BGC0000484	Partial	glycocin F	RiPP	Lactobacillus plantarum
BGC0000485	Partial	acidocin B	RiPP	Lactobacillus acidophilus
BGC0000486	Partial	butyrivibriocin AR10	RiPP	Butyrivibrio fibrisolvens
BGC0000487	Partial	carnocyclin	RiPP	Carnobacterium maltaromaticum
BGC0000489	Partial	enterocin AS-48	RiPP	Enterococcus faecalis
BGC0000490	Partial	garvicin ML	RiPP	Lactococcus garvieae DCC43
BGC0000491	Partial	gassericin A	RiPP	Lactobacillus gasseri
BGC0000492	Partial	lactocyclicin Q	RiPP	Lactococcus sp. QU 12
BGC0000493	Partial	leucocyclicin Q	RiPP	Leuconostoc mesenteroides
BGC0000494	Partial	uberolysin	RiPP	Streptococcus uberis
BGC0000495	Partial	actagardine	RiPP	Actinoplanes garbadinensis
BGC0000496	Partial	AmfS	RiPP	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000497	Partial	BhtA1 / BhtA2	RiPP	Streptococcus ratti
BGC0000498	Partial	bovicin HJ50	RiPP	Streptococcus equinus
BGC0000499	Partial	butyrivibriocin OR79	RiPP	Butyrivibrio fibrisolvens
BGC0000500	Partial	carnolysin A1 / carnolysin A2	RiPP	Carnobacterium maltaromaticum
BGC0000502	Partial	cerecidin / cerecidin A1 / cerecidin A2 / cerecidin A3 / cerecidin A4 / cerecidin A5 / cerecidin A6 / cerecidin A7	RiPP	Bacillus cereus
BGC0000504	Partial	cytolysin ClyLl / cytolysin ClyLs	RiPP	Enterococcus faecalis
BGC0000505	Partial	enterocin W alpha / enterocin W beta	RiPP	Enterococcus faecalis
BGC0000507	Partial	epicidin	RiPP	Staphylococcus epidermidis
BGC0000508	Partial	epidermin	RiPP	Staphylococcus epidermidis
BGC0000510	Partial	epilancin K7	RiPP	Staphylococcus epidermidis
BGC0000514	Partial	gallidermin	RiPP	Staphylococcus gallinarum
BGC0000521	Partial	lacticin 481	RiPP	Lactococcus lactis subsp. lactis
BGC0000522	Partial	lacticin Z	RiPP	Lactococcus lactis
BGC0000523	Partial	lactocin S	RiPP	Lactobacillus sakei
BGC0000525	Partial	lichenicidin VK21 A1 / lichenicidin VK21 A2	RiPP	Bacillus licheniformis
BGC0000527	Partial	mersacidin	RiPP	Bacillus sp. HIL-Y85/54728
BGC0000528	Partial	michiganin A	RiPP	Clavibacter michiganensis subsp. michiganensis NCPPB 382
BGC0000530	Partial	mutacin B-Ny266	RiPP	Streptococcus mutans N66
BGC0000531	Partial	mutacin I	RiPP	Streptococcus mutans
BGC0000532	Partial	mutacin II	RiPP	Streptococcus mutans
BGC0000533	Partial	mutacin III	RiPP	Streptococcus mutans
BGC0000534	Partial	mutacin K8	RiPP	Streptococcus mutans
BGC0000536	Partial	nisin Q	RiPP	Lactococcus lactis
BGC0000537	Partial	nisin U	RiPP	Streptococcus uberis
BGC0000538	Partial	nisin Z	RiPP	Lactococcus lactis
BGC0000539	Partial	nukacin ISK-1	RiPP	Staphylococcus warneri
BGC0000540	Partial	paenibacillin	RiPP	Paenibacillus polymyxa OSY-DF
BGC0000541	Partial	paenicidin A	RiPP	Paenibacillus polymyxa
BGC0000542	Partial	paenicidin B	RiPP	Paenibacillus terrae
BGC0000543	Partial	pep5	RiPP	Staphylococcus epidermidis
BGC0000545	Partial	ruminococcin A	RiPP	Ruminococcus gnavus E1
BGC0000547	Partial	salivaricin 9	RiPP	Streptococcus salivarius
BGC0000548	Partial	salivaricin A	RiPP	Streptococcus salivarius
BGC0000549	Partial	salivaricin D	RiPP	Streptococcus salivarius
BGC0000550	Partial	salivaricin G32	RiPP	Streptococcus salivarius
BGC0000552	Partial	Smb A / Smb B	RiPP	Streptococcus mutans
BGC0000555	Partial	staphylococcin C55 alpha / staphylococcin C55 beta	RiPP	Staphylococcus aureus
BGC0000556	Partial	streptin	RiPP	Streptococcus pyogenes
BGC0000557	Partial	streptococcin A-FF22	RiPP	Streptococcus pyogenes
BGC0000558	Partial	sublancin 168	RiPP	Bacillus subtilis subsp. subtilis str. 168
BGC0000561	Partial	thermophilin 1277	RiPP	Streptococcus thermophilus
BGC0000562	Partial	variacin	RiPP	Kocuria varians
BGC0000565	Partial	goadsporin	RiPP	Streptomyces sp. TP-A0584
BGC0000567	Partial	trifolitoxin	RiPP	Rhizobium leguminosarum
BGC0000568	Partial	microcin B17	RiPP	Escherichia coli
BGC0000570	Partial	astexin-1	RiPP	Asticcacaulis excentricus CB 48
BGC0000571	Partial	burhizin	RiPP	Burkholderia rhizoxinica HKI 454
BGC0000572	Partial	capistruin	RiPP	Burkholderia thailandensis E444
BGC0000573	Partial	caulonodin I / caulonodin II	RiPP	Caulobacter sp. K31
BGC0000574	Partial	caulosegnin I / caulosegnin II / caulosegnin III	RiPP	Caulobacter segnis ATCC 21756
BGC0000575	Partial	lariatin	RiPP	Rhodococcus jostii
BGC0000576	Partial	rubrivinodin	RiPP	Rubrivivax gelatinosus IL144
BGC0000577	Partial	sphingonodin II	RiPP	Sphingobium japonicum UT26S
BGC0000580	Partial	xanthomonin I / xanthomonin II	RiPP	Xanthomonas gardneri ATCC 19865
BGC0000581	Partial	microcin J25	RiPP	Escherichia coli
BGC0000584	Partial	Colicin V	RiPP	Escherichia coli
BGC0000585	Partial	microcin C7	RiPP	Escherichia coli
BGC0000586	Partial	microcin E492	RiPP	Klebsiella pneumoniae RYC492
BGC0000587	Partial	Microcin H47	RiPP	Escherichia coli
BGC0000588	Partial	microcin L	RiPP	Escherichia coli
BGC0000589	Partial	Microcin M	RiPP	Escherichia coli Nissle 1917
BGC0000590	Partial	microcin N	RiPP	Escherichia coli
BGC0000591	Partial	marinostatin	RiPP	Alteromonas sp. B-10-31
BGC0000594	Partial	microviridin K	RiPP	Planktothrix agardhii NIVA-CYA 126/8
BGC0000599	Partial	thuricin CD alfa / thuricin CD beta	RiPP	Bacillus thuringiensis
BGC0000600	Partial	thurincin H	RiPP	Bacillus thuringiensis
BGC0000602	Partial	subtilosin A	RiPP	Bacillus subtilis subsp. spizizenii ATCC 6633
BGC0000605	Partial	GE37468	RiPP	Streptomyces sp. ATCC 55365
BGC0000606	Partial	lactazole	RiPP	Streptomyces lactacystinaeus
BGC0000607	Partial	micrococcin P1	RiPP	Macrococcus caseolyticus
BGC0000608	Partial	nocathiacin	RiPP	Actinokineospora fastidiosa
BGC0000609	Partial	nocathiacin	RiPP	Nocardia sp. ATCC 202099
BGC0000610	Partial	nosiheptide	RiPP	Streptomyces actuosus
BGC0000611	Partial	siomycin	RiPP	Streptomyces sioyaensis
BGC0000614	Partial	thiostrepton	RiPP	Streptomyces laurentii
BGC0000617	Partial	coagulin	RiPP	Bacillus coagulans
BGC0000618	Partial	enterocin A	RiPP	Enterococcus faecium DO
BGC0000619	Partial	gassericin T	RiPP	Lactobacillus gasseri
BGC0000620	Partial	lacticin Q	RiPP	Lactococcus lactis
BGC0000621	Partial	linaclotide	RiPP	Escherichia coli
BGC0000622	Partial	megacin	RiPP	Bacillus megaterium
BGC0000623	Partial	plantaricin W alpha / plantaricin W beta	RiPP	Lactobacillus plantarum
BGC0000624	Partial	salivaricin CRL1328 alpha peptide / salivaricin CRL1328 beta peptide	RiPP	Lactobacillus salivarius
BGC0000625	Partial	thioviridamide	RiPP	Streptomyces olivoviridis
BGC0000626	Partial	thuricin	RiPP	Bacillus thuringiensis
BGC0000627	Partial	ustiloxin B	RiPP	Aspergillus flavus NRRL3357
BGC0000629	Partial	aflatrem	Terpene	Aspergillus flavus
BGC0000630	Partial	astaxanthin	Terpene	Paracoccus haeundaensis
BGC0000632	Partial	brasilicardin A	Terpene	Nocardia brasiliensis
BGC0000633	Partial	carotenoid	Terpene	Streptomyces avermitilis
BGC0000634	Partial	carotenoid	Terpene	Brevundimonas sp. SD212
BGC0000635	Partial	carotenoid	Terpene	Paracoccus sp. N81106
BGC0000636	Partial	carotenoid	Terpene	Brevibacterium linens
BGC0000637	Partial	carotenoid	Terpene	Corynebacterium glutamicum
BGC0000638	Partial	carotenoid	Terpene	Pantoea ananatis
BGC0000639	Partial	carotenoid	Terpene	Enterobacteriaceae bacterium DC260
BGC0000640	Partial	carotenoid	Terpene	Enterobacteriaceae bacterium DC404
BGC0000641	Partial	carotenoid	Terpene	Enterobacteriaceae bacterium DC416
BGC0000642	Partial	carotenoid	Terpene	Enterobacteriaceae bacterium DC413
BGC0000643	Partial	carotenoid	Terpene	Brevundimonas vesicularis
BGC0000644	Partial	carotenoid	Terpene	Dietzia sp. CQ4
BGC0000645	Partial	carotenoid	Terpene	Halobacillus halophilus DSM 2266
BGC0000647	Partial	carotenoid	Terpene	Rhodobacter sphaeroides
BGC0000648	Partial	carotenoid	Terpene	Myxococcus xanthus
BGC0000649	Partial	carotenoid	Terpene	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000650	Partial	carotenoid	Terpene	Algoriphagus sp. KK10202C
BGC0000651	Partial	KS-505a	Terpene	Streptomyces argenteolus
BGC0000652	Partial	napyradiomycin	Terpene	Streptomyces sp. CNQ525
BGC0000653	Partial	pentalenolactone	Terpene	Streptomyces arenae
BGC0000655	Partial	siomycin	Terpene	Streptomyces sioyaensis
BGC0000656	Partial	zeaxanthin	Terpene	Xanthobacter autotrophicus Py2
BGC0000658	Partial	2-methylisoborneol	Terpene	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000659	Partial	2-methylisoborneol	Terpene	Saccharopolyspora erythraea NRRL 2338
BGC0000660	Partial	albaflavenone	Terpene	Streptomyces coelicolor A3(2)
BGC0000662	Partial	grixazone	Terpene	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000663	Partial	hopene	Terpene	Streptomyces coelicolor A3(2)
BGC0000664	Partial	isorenieratene	Terpene	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000667	Partial	PR toxin	Terpene	Penicillium roqueforti FM164
BGC0000671	Partial	momilactone	Terpene	Oryza sativa Japonica Group
BGC0000672	Partial	phytocassane / oryzalides	Terpene	Oryza sativa Japonica Group
BGC0000673	Partial	ent-pimara-8(14),15-diene	Terpene	Aspergillus nidulans FGSC A4
BGC0000674	Partial	(-)-delta-cadinene	Terpene	Streptomyces clavuligerus ATCC 27064
BGC0000675	Partial	(+)-T-muurolol	Terpene	Streptomyces clavuligerus ATCC 27064
BGC0000678	Partial	pentalenolactone	Terpene	Streptomyces avermitilis MA-4680 = NBRC 14893
BGC0000679	Partial	diazepinomicin	Terpene	Micromonospora sp. M42
BGC0000680	Partial	austinol / dehydroaustinol	Terpene	Aspergillus nidulans FGSC A4
BGC0000682	Partial	terretonin	Terpene	Aspergillus terreus NIH2624
BGC0000683	Partial	avermitilol	Terpene	Streptomyces avermitilis MA-4680 = NBRC 14893
BGC0000684	Partial	asperthecin	Terpene	Aspergillus nidulans FGSC A4
BGC0000685	Partial	brassicicene C	Terpene	Alternaria brassicicola ATCC 96836
BGC0000686	Partial	helvolic acid	Terpene	Aspergillus fumigatus Af293
BGC0000687	Partial	phyllocladan-16alpha-ol	Terpene	Diaporthe amygdali
BGC0000688	Partial	copalyl diphosphate	Terpene	Diaporthe amygdali
BGC0000689	Partial	2-deoxystreptamine	Saccharide	Micromonospora echinospora
BGC0000690	Partial	5'-hydroxystreptomycin	Saccharide	Streptomyces glaucescens
BGC0000691	Partial	acarbose	Saccharide	Actinoplanes sp. SE50/110
BGC0000692	Partial	apramycin	Saccharide	Streptoalloteichus hindustanus
BGC0000693	Partial	butirosin	Saccharide	Bacillus circulans
BGC0000694	Partial	butirosin	Saccharide	Bacillus circulans
BGC0000695	Partial	fortimicin	Saccharide	Micromonospora olivasterospora
BGC0000696	Partial	gentamicin	Saccharide	Micromonospora echinospora
BGC0000697	Partial	gentamicin	Saccharide	Micromonospora echinospora
BGC0000698	Partial	hygromycin A	Saccharide	Streptomyces hygroscopicus
BGC0000699	Partial	hygromycin B	Saccharide	Streptomyces hygroscopicus subsp. hygroscopicus
BGC0000700	Partial	istamycin	Saccharide	Streptomyces tenjimariensis
BGC0000701	Partial	jinggangmycin	Saccharide	Streptomyces hygroscopicus subsp. yingchengensis
BGC0000702	Partial	kanamycin	Saccharide	Streptomyces kanamyceticus
BGC0000703	Partial	kanamycin	Saccharide	Streptomyces kanamyceticus
BGC0000704	Partial	kanamycin	Saccharide	Streptomyces kanamyceticus
BGC0000705	Partial	kanamycin	Saccharide	Streptomyces kanamyceticus
BGC0000706	Partial	kanamycin	Saccharide	Streptomyces kanamyceticus
BGC0000707	Partial	kasugamycin	Saccharide	Streptomyces kasugaensis
BGC0000708	Partial	lividomycin	Saccharide	Streptomyces lividus
BGC0000709	Partial	neomycin	Saccharide	Streptomyces fradiae
BGC0000710	Partial	neomycin	Saccharide	Streptomyces fradiae
BGC0000711	Partial	neomycin	Saccharide	Streptomyces fradiae
BGC0000712	Partial	paromomycin	Saccharide	Streptomyces rimosus subsp. paromomycinus
BGC0000713	Partial	ribostamycin	Saccharide	Streptomyces ribosidificus
BGC0000714	Partial	sisomicin	Saccharide	Micromonospora inyonensis
BGC0000715	Partial	spectinomycin	Saccharide	Streptomyces spectabilis
BGC0000716	Partial	spectinomycin	Saccharide	Streptomyces netropsis
BGC0000717	Partial	streptomycin	Saccharide	Streptomyces griseus subsp. griseus
BGC0000718	Partial	streptomycin	Saccharide	Streptomyces griseus
BGC0000719	Partial	tobramycin	Saccharide	Streptoalloteichus hindustanus
BGC0000720	Partial	tobramycin	Saccharide	Streptoalloteichus tenebrarius
BGC0000721	Partial	tobramycin	Saccharide	Streptoalloteichus tenebrarius
BGC0000722	Partial	validamycin	Saccharide	Streptomyces hygroscopicus subsp. jinggangensis
BGC0000723	Partial	validamycin	Saccharide	Streptomyces hygroscopicus subsp. limoneus
BGC0000724	Partial	streptomycin	Saccharide	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000725	Partial	alginate	Saccharide	Pseudomonas sp. QDA
BGC0000726	Partial	alginate	Saccharide	Pseudomonas sp. QDA
BGC0000727	Partial	auricin deoxysugar moieties	Saccharide	Streptomyces aureofaciens
BGC0000728	Partial	capsular polysaccharide	Saccharide	Klebsiella pneumoniae subsp. ozaenae
BGC0000729	Partial	capsular polysaccharide	Saccharide	Klebsiella pneumoniae
BGC0000730	Partial	capsular polysaccharide	Saccharide	Klebsiella pneumoniae
BGC0000731	Partial	capsular polysaccharide	Saccharide	Klebsiella pneumoniae
BGC0000732	Partial	capsular polysaccharide	Saccharide	Raoultella planticola
BGC0000733	Partial	capsular polysaccharide	Saccharide	Klebsiella pneumoniae
BGC0000734	Partial	capsular polysaccharide	Saccharide	Pasteurella multocida
BGC0000735	Partial	capsular polysaccharide	Saccharide	Pasteurella multocida
BGC0000736	Partial	capsular polysaccharide	Saccharide	Mannheimia haemolytica
BGC0000737	Partial	capsular polysaccharide	Saccharide	Pasteurella multocida
BGC0000738	Partial	capsular polysaccharide	Saccharide	Pasteurella multocida
BGC0000739	Partial	capsular polysaccharide	Saccharide	Pasteurella multocida
BGC0000740	Partial	capsular polysaccharide	Saccharide	Streptococcus agalactiae
BGC0000741	Partial	capsular polysaccharide	Saccharide	Streptococcus agalactiae
BGC0000742	Partial	capsular polysaccharide	Saccharide	Streptococcus agalactiae
BGC0000743	Partial	capsular polysaccharide	Saccharide	Streptococcus agalactiae
BGC0000744	Partial	capsular polysaccharide	Saccharide	Streptococcus agalactiae
BGC0000745	Partial	capsular polysaccharide	Saccharide	Streptococcus agalactiae
BGC0000746	Partial	capsular polysaccharide	Saccharide	Streptococcus agalactiae
BGC0000747	Partial	capsular polysaccharide	Saccharide	Streptococcus agalactiae
BGC0000748	Partial	capsular polysaccharide	Saccharide	Streptococcus agalactiae
BGC0000749	Partial	capsular polysaccharide	Saccharide	Escherichia coli
BGC0000750	Partial	capsular polysaccharide	Saccharide	Actinobacillus pleuropneumoniae
BGC0000751	Partial	capsular polysaccharide	Saccharide	Actinobacillus pleuropneumoniae
BGC0000752	Partial	capsular polysaccharide	Saccharide	Actinobacillus pleuropneumoniae serovar 6 str. Femo
BGC0000753	Partial	capsular polysaccharide	Saccharide	Actinobacillus pleuropneumoniae
BGC0000754	Partial	capsular polysaccharide	Saccharide	Avibacterium paragallinarum
BGC0000755	Partial	capsular polysaccharide	Saccharide	Avibacterium paragallinarum 221
BGC0000756	Partial	capsular polysaccharide	Saccharide	Avibacterium paragallinarum
BGC0000757	Partial	capsular polysaccharide	Saccharide	Avibacterium paragallinarum
BGC0000759	Partial	diutan polysaccharide	Saccharide	Sphingomonas sp. ATCC 53159
BGC0000760	Partial	emulsan	Saccharide	Acinetobacter lwoffii
BGC0000761	Partial	exopolysaccharide	Saccharide	Methylobacillus sp. 12S
BGC0000762	Partial	exopolysaccharide	Saccharide	Rhizobium leguminosarum bv. viciae
BGC0000763	Partial	stewartan	Saccharide	Pantoea stewartii subsp. stewartii DC283
BGC0000764	Partial	exopolysaccharide	Saccharide	Lactococcus lactis
BGC0000765	Partial	exopolysaccharide	Saccharide	Lactobacillus johnsonii
BGC0000766	Partial	exopolysaccharide	Saccharide	Lactobacillus johnsonii
BGC0000767	Partial	exopolysaccharide	Saccharide	Lactobacillus johnsonii
BGC0000768	Partial	gellan polysaccharide	Saccharide	Sphingomonas elodea ATCC 31461
BGC0000769	Partial	glycopeptidolipid	Saccharide	Mycobacterium avium subsp. hominissuis A5
BGC0000770	Partial	lipo-oligosaccharide	Saccharide	Campylobacter jejuni
BGC0000771	Partial	lipo-oligosaccharide	Saccharide	Campylobacter jejuni
BGC0000772	Partial	lipopolysaccharide	Saccharide	Brucella melitensis
BGC0000773	Partial	lipopolysaccharide	Saccharide	Escherichia coli
BGC0000775	Partial	lipopolysaccharide	Saccharide	Legionella pneumophila
BGC0000776	Partial	lipopolysaccharide	Saccharide	Escherichia coli
BGC0000777	Partial	lipopolysaccharide	Saccharide	Escherichia coli
BGC0000778	Partial	lipopolysaccharide	Saccharide	Aeromonas hydrophila
BGC0000779	Partial	lipopolysaccharide	Saccharide	Aeromonas hydrophila
BGC0000780	Partial	O&K-antigen	Saccharide	Vibrio parahaemolyticus
BGC0000781	Partial	O-antigen	Saccharide	Pseudomonas aeruginosa
BGC0000782	Partial	O-antigen	Saccharide	Burkholderia pseudomallei 1026b
BGC0000783	Partial	O-antigen	Saccharide	Xanthomonas oryzae pv. oryzae
BGC0000784	Partial	O-antigen	Saccharide	Pseudomonas aeruginosa
BGC0000785	Partial	O-antigen	Saccharide	Burkholderia mallei
BGC0000786	Partial	O-antigen	Saccharide	Edwardsiella ictaluri 93-146
BGC0000787	Partial	O-antigen	Saccharide	Escherichia coli
BGC0000788	Partial	O-antigen	Saccharide	Salmonella enterica subsp. salamae serovar Greenside
BGC0000789	Partial	O-antigen	Saccharide	Escherichia coli
BGC0000790	Partial	O-antigen	Saccharide	Escherichia coli
BGC0000791	Partial	O-antigen	Saccharide	Cronobacter sakazakii
BGC0000792	Partial	polysaccharide	Saccharide	Enterococcus faecalis OG1RF
BGC0000793	Partial	lipopolysaccharide oligosaccharide	Saccharide	Salmonella enterica subsp. arizonae
BGC0000794	Partial	S-layer glycan	Saccharide	Geobacillus stearothermophilus
BGC0000795	Partial	S-layer glycan	Saccharide	Aneurinibacillus thermoaerophilus
BGC0000796	Partial	S-layer glycan	Saccharide	Paenibacillus alvei
BGC0000797	Partial	sphingan polysaccharide	Saccharide	Sphingomonas sp. S88
BGC0000798	Partial	dhurrin	Saccharide	Sorghum bicolor
BGC0000799	Partial	colanic acid	Saccharide	Escherichia coli
BGC0000800	Partial	xanthan	Saccharide	Xanthomonas campestris
BGC0000801	Partial	galactoglucan	Saccharide	Sinorhizobium meliloti
BGC0000802	Partial	succinoglycan	Saccharide	Sinorhizobium meliloti
BGC0000803	Partial	GG exopolysaccharide	Saccharide	Lactobacillus rhamnosus GG
BGC0000804	Partial	acarviostatin	Saccharide	Streptomyces coelicoflavus ZG0656
BGC0000806	Partial	phosphonoglycans	Saccharide	Glycomyces sp. NRRL B-16210
BGC0000807	Partial	phosphonoglycans	Saccharide	Stackebrandtia nassauensis DSM 44728
BGC0000809	Partial	AT2433	Alkaloid	Actinomadura melliaura
BGC0000810	Partial	benzoxazinone DIMBOA	Alkaloid	Zea mays
BGC0000811	Partial	fumigaclavine C	Alkaloid	Aspergillus fumigatus Af293
BGC0000812	Partial	huperzine A	Alkaloid	Shiraia sp. slf14
BGC0000813	Partial	K-252a	Alkaloid	Nonomuraea longicatena
BGC0000814	Partial	K-252a	Alkaloid	Nonomuraea longicatena
BGC0000815	Partial	loline alkaloids	Alkaloid	Neotyphodium uncinatum
BGC0000823	Partial	rebeccamycin	Alkaloid	Lechevalieria aerocolonigenes
BGC0000825	Partial	staurosporine	Alkaloid	Streptomyces sp. TP-A0274
BGC0000826	Partial	staurosporine	Alkaloid	Streptomyces clavuligerus ATCC 27064
BGC0000827	Partial	staurosporine	Alkaloid	Salinispora arenicola CNS-205
BGC0000828	Partial	violacein	Alkaloid	Chromobacterium violaceum
BGC0000831	Partial	violacein	Alkaloid	Duganella sp. B2
BGC0000835	Partial	simocyclinone	Polyketide	Streptomyces antibioticus
BGC0000838	Partial	flexirubin	Polyketide	Flavobacterium johnsoniae UW101
BGC0000840	Partial	xanthomonadin	Other	Xanthomonas oryzae pv. oryzae
BGC0000842	Partial	carbapenem MM 4550	Other	Streptomyces argenteolus
BGC0000844	Partial	clavulanic acid	Other	Streptomyces clavuligerus
BGC0000846	Partial	tabtoxin	Other	Pseudomonas syringae
BGC0000848	Partial	A-factor	Other	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000850	Partial	gamma-butyrolactone	Other	Streptomyces acidiscabies
BGC0000851	Partial	albonoursin	Other	Streptomyces noursei ATCC 11455
BGC0000852	Partial	ectoine	Other	Sporosarcina pasteurii
BGC0000853	Partial	ectoine	Other	Streptomyces anulatus
BGC0000854	Partial	ectoine	Other	Methylomicrobium alcaliphilum 20Z
BGC0000855	Partial	ectoine	Other	Methylomicrobium kenyense
BGC0000856	Partial	ectoine	Other	Methylophaga thalassica
BGC0000857	Partial	ectoine	Other	Methylophaga alcalica
BGC0000858	Partial	ectoine	Other	Methylobacter marinus
BGC0000859	Partial	ectoine	Other	Methylomicrobium alcaliphilum
BGC0000860	Partial	ectoine	Other	Methylarcula marina
BGC0000861	Partial	eicosapentaenoic acid	Other	Shewanella sp. BR-2
BGC0000862	Partial	eicosapentaenoic acid	Other	Shewanella sp. SCRC-2738
BGC0000863	Partial	eicosapentaenoic acid	Other	Pseudoalteromonas sp. DS-12
BGC0000864	Partial	eicosapentaenoic acid-like compound	Other	Moritella marina ATCC 15381
BGC0000865	Partial	eicoseicosapentaenoic acid	Other	Photobacterium profundum SS9
BGC0000866	Partial	polyhydroxyalkanoate	Other	Burkholderia sp. DSM 9242
BGC0000867	Partial	polyhydroxyalkanoic acids	Other	Ectothiorhodospira shaposhnikovii
BGC0000868	Partial	teichuronic acid	Other	Bacillus subtilis subsp. subtilis str. 168
BGC0000869	Partial	heterocyst glycolipids	Other	Nostoc sp. 'Peltigera membranacea cyanobiont'
BGC0000870	Partial	mycolic acid	Other	Mycobacterium tuberculosis H37Rv
BGC0000872	Partial	A-90289 A / A-90289 B	Other	Streptomyces sp. SANK 60405
BGC0000873	Partial	A201A	Other	Saccharothrix mutabilis subsp. capreolus
BGC0000874	Partial	blasticidin	Other	Streptomyces griseochromogenes
BGC0000876	Partial	nikkomycin	Other	Streptomyces tendae
BGC0000877	Partial	polyoxin	Other	Streptomyces cacaoi subsp. asoensis
BGC0000878	Partial	puromycin	Other	Streptomyces alboniger
BGC0000879	Partial	toyocamycin/sangivamycin	Other	Streptomyces rimosus
BGC0000881	Partial	toyocamycin	Other	Streptomyces ahygroscopicus subsp. wuzhouensis
BGC0000882	Partial	mildiomycin	Other	Streptomyces rimofaciens
BGC0000883	Partial	arginomycin	Other	Streptomyces arginensis
BGC0000884	Partial	3-methylarginine	Other	Pseudomonas syringae pv. syringae
BGC0000885	Partial	4-hydroxy-3-nitrosobenzamide	Other	Streptomyces murayamaensis
BGC0000886	Partial	allylmalonyl-CoA	Other	Streptomyces tsukubaensis
BGC0000888	Partial	bacilysin	Other	Bacillus sp. CS93
BGC0000889	Partial	bagremycin	Other	Streptomyces sp. WK-5344
BGC0000894	Partial	citrinin	Other	Monascus aurantiacus
BGC0000895	Partial	citrulline	Other	Lactobacillus plantarum subsp. plantarum
BGC0000896	Partial	d-cycloserine	Other	Streptomyces lavendulae subsp. lavendulae
BGC0000897	Partial	dehydrophos	Other	Streptomyces luridus
BGC0000899	Partial	desosamine	Other	Streptomyces narbonensis
BGC0000900	Partial	ferrichrome	Other	Aspergillus oryzae
BGC0000901	Partial	ferrichrome	Other	Aspergillus niger
BGC0000902	Partial	flaviolin	Other	Saccharopolyspora erythraea NRRL 2338
BGC0000903	Partial	fluorometabolite	Other	Streptomyces cattleya
BGC0000904	Partial	FR900098	Other	Streptomyces rubellomurinus
BGC0000905	Partial	heme D1	Other	Heliobacillus mobilis
BGC0000906	Partial	heme D1	Other	Heliophilum fasciatum
BGC0000907	Partial	lincomycin	Other	Streptomyces lincolnensis
BGC0000908	Partial	melanin	Other	Streptomyces avermitilis
BGC0000909	Partial	melanin	Other	Streptomyces avermitilis
BGC0000910	Partial	melanin	Other	Streptomyces coelicolor A3(2)
BGC0000911	Partial	melanin	Other	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000912	Partial	melanin	Other	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000913	Partial	menaquinone	Other	Enterobacter cloacae
BGC0000914	Partial	methylenomycin	Other	Streptomyces coelicolor A3(2)
BGC0000916	Partial	molybdenum cofactor	Other	Staphylococcus carnosus
BGC0000917	Partial	molybdenum cofactor	Other	Rhodobacter capsulatus
BGC0000918	Partial	ochronotic pigment	Other	Streptomyces avermitilis
BGC0000919	Partial	phaseolotoxin	Other	Pseudomonas syringae
BGC0000920	Partial	polyhydroxyalkanoates	Other	Bacillus cereus
BGC0000922	Partial	Pseudomonas quinolone signal (PQS)	Other	Pseudomonas aeruginosa PAO1
BGC0000923	Partial	paerucumarin	Other	Pseudomonas aeruginosa PAO1
BGC0000924	Partial	pyrrolnitrin	Other	Pseudomonas chlororaphis
BGC0000925	Partial	quinolobactin	Other	Pseudomonas fluorescens
BGC0000926	Partial	rhizocticin	Other	Bacillus subtilis subsp. spizizenii ATCC 6633
BGC0000927	Partial	roseoflavin	Other	Streptomyces davawensis JCM 4913
BGC0000928	Partial	T3 toxin	Other	Cylindrospermopsis raciborskii T3
BGC0000929	Partial	toxoflavin	Other	Burkholderia glumae
BGC0000930	Partial	trichothecene	Other	Fusarium graminearum
BGC0000931	Partial	trichothecene	Other	Fusarium graminearum
